,Trapnest,Date,Nest_ID,Site,Subsite,Treatment,Cavity_number,Straw_ID,Filled_length_mm,Straw_length_mm,Cavity_ID,Status,Occupant,Good_days,Bee_choice,New_nests_os,New_nests_meg,New_nest_sum,Osmia_ps_prior,Osmia_no_ps_prior,Meg_ps_prior,Meg_no_ps_prior,Number_of_cells,Cumulative_par,Prop_cells_par,Par_in_trapnest,Day_of_year
12361,trapnest_33,2023-05-16,33_8a,NN,K,High,8,a,NA,NA,33_8,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
12390,trapnest_33,2023-05-16,33_9a,NN,K,High,9,a,NA,NA,33_9,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
11897,trapnest_33,2023-05-16,33_10a,NN,K,High,10,a,NA,NA,33_10,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
11926,trapnest_33,2023-05-16,33_11a,NN,K,High,11,a,NA,NA,33_11,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
11955,trapnest_33,2023-05-16,33_12a,NN,K,High,12,a,NA,NA,33_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
11984,trapnest_33,2023-05-16,33_13a,NN,K,High,13,a,NA,NA,33_13,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
12013,trapnest_33,2023-05-16,33_14a,NN,K,High,14,a,NA,NA,33_14,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
12042,trapnest_33,2023-05-16,33_15a,NN,K,High,15,a,NA,NA,33_15,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
12071,trapnest_33,2023-05-16,33_16a,NN,K,High,16,a,NA,NA,33_16,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
12100,trapnest_33,2023-05-16,33_17a,NN,K,High,17,a,NA,NA,33_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
12129,trapnest_33,2023-05-16,33_18a,NN,K,High,18,a,NA,NA,33_18,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
12159,trapnest_33,2023-05-18,33_1a,NN,K,High,1,a,NA,NA,33_1,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
12188,trapnest_33,2023-05-18,33_2a,NN,K,High,2,a,NA,NA,33_2,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
12217,trapnest_33,2023-05-18,33_3a,NN,K,High,3,a,NA,NA,33_3,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
12246,trapnest_33,2023-05-18,33_4a,NN,K,High,4,a,NA,NA,33_4,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
12275,trapnest_33,2023-05-18,33_5a,NN,K,High,5,a,NA,NA,33_5,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
12304,trapnest_33,2023-05-18,33_6a,NN,K,High,6,a,NA,NA,33_6,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
12333,trapnest_33,2023-05-18,33_7a,NN,K,High,7,a,NA,NA,33_7,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
12362,trapnest_33,2023-05-18,33_8a,NN,K,High,8,a,NA,NA,33_8,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
12391,trapnest_33,2023-05-18,33_9a,NN,K,High,9,a,NA,NA,33_9,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
11898,trapnest_33,2023-05-18,33_10a,NN,K,High,10,a,NA,NA,33_10,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
11927,trapnest_33,2023-05-18,33_11a,NN,K,High,11,a,NA,NA,33_11,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
11956,trapnest_33,2023-05-18,33_12a,NN,K,High,12,a,NA,NA,33_12,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
11985,trapnest_33,2023-05-18,33_13a,NN,K,High,13,a,NA,NA,33_13,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
12014,trapnest_33,2023-05-18,33_14a,NN,K,High,14,a,NA,NA,33_14,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
12043,trapnest_33,2023-05-18,33_15a,NN,K,High,15,a,NA,NA,33_15,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
12072,trapnest_33,2023-05-18,33_16a,NN,K,High,16,a,NA,NA,33_16,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
12101,trapnest_33,2023-05-18,33_17a,NN,K,High,17,a,NA,NA,33_17,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
12130,trapnest_33,2023-05-18,33_18a,NN,K,High,18,a,NA,NA,33_18,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138
12160,trapnest_33,2023-05-19,33_1a,NN,K,High,1,a,NA,NA,33_1,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
12189,trapnest_33,2023-05-19,33_2a,NN,K,High,2,a,NA,NA,33_2,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
12218,trapnest_33,2023-05-19,33_3a,NN,K,High,3,a,NA,NA,33_3,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
12247,trapnest_33,2023-05-19,33_4a,NN,K,High,4,a,NA,NA,33_4,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
12276,trapnest_33,2023-05-19,33_5a,NN,K,High,5,a,NA,NA,33_5,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
12305,trapnest_33,2023-05-19,33_6a,NN,K,High,6,a,NA,NA,33_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
12334,trapnest_33,2023-05-19,33_7a,NN,K,High,7,a,NA,NA,33_7,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
12363,trapnest_33,2023-05-19,33_8a,NN,K,High,8,a,NA,NA,33_8,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
12392,trapnest_33,2023-05-19,33_9a,NN,K,High,9,a,NA,NA,33_9,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
11899,trapnest_33,2023-05-19,33_10a,NN,K,High,10,a,NA,NA,33_10,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
11928,trapnest_33,2023-05-19,33_11a,NN,K,High,11,a,NA,NA,33_11,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
11957,trapnest_33,2023-05-19,33_12a,NN,K,High,12,a,NA,NA,33_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
11986,trapnest_33,2023-05-19,33_13a,NN,K,High,13,a,NA,NA,33_13,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
12015,trapnest_33,2023-05-19,33_14a,NN,K,High,14,a,NA,NA,33_14,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
12044,trapnest_33,2023-05-19,33_15a,NN,K,High,15,a,NA,NA,33_15,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
12073,trapnest_33,2023-05-19,33_16a,NN,K,High,16,a,NA,NA,33_16,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
12102,trapnest_33,2023-05-19,33_17a,NN,K,High,17,a,NA,NA,33_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
12131,trapnest_33,2023-05-19,33_18a,NN,K,High,18,a,NA,NA,33_18,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
12161,trapnest_33,2023-05-21,33_1a,NN,K,High,1,a,NA,NA,33_1,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
12190,trapnest_33,2023-05-21,33_2a,NN,K,High,2,a,NA,NA,33_2,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
12219,trapnest_33,2023-05-21,33_3a,NN,K,High,3,a,NA,NA,33_3,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
12248,trapnest_33,2023-05-21,33_4a,NN,K,High,4,a,NA,NA,33_4,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
12277,trapnest_33,2023-05-21,33_5a,NN,K,High,5,a,NA,NA,33_5,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
12306,trapnest_33,2023-05-21,33_6a,NN,K,High,6,a,NA,NA,33_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
12335,trapnest_33,2023-05-21,33_7a,NN,K,High,7,a,NA,NA,33_7,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
12364,trapnest_33,2023-05-21,33_8a,NN,K,High,8,a,NA,NA,33_8,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
12393,trapnest_33,2023-05-21,33_9a,NN,K,High,9,a,NA,NA,33_9,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
11900,trapnest_33,2023-05-21,33_10a,NN,K,High,10,a,NA,NA,33_10,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
11929,trapnest_33,2023-05-21,33_11a,NN,K,High,11,a,NA,NA,33_11,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
11958,trapnest_33,2023-05-21,33_12a,NN,K,High,12,a,NA,NA,33_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
11987,trapnest_33,2023-05-21,33_13a,NN,K,High,13,a,NA,NA,33_13,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
12016,trapnest_33,2023-05-21,33_14a,NN,K,High,14,a,NA,NA,33_14,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
12045,trapnest_33,2023-05-21,33_15a,NN,K,High,15,a,NA,NA,33_15,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
12074,trapnest_33,2023-05-21,33_16a,NN,K,High,16,a,NA,NA,33_16,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
12103,trapnest_33,2023-05-21,33_17a,NN,K,High,17,a,NA,NA,33_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
12132,trapnest_33,2023-05-21,33_18a,NN,K,High,18,a,NA,NA,33_18,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
12162,trapnest_33,2023-05-22,33_1a,NN,K,High,1,a,NA,NA,33_1,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
12191,trapnest_33,2023-05-22,33_2a,NN,K,High,2,a,NA,NA,33_2,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
12220,trapnest_33,2023-05-22,33_3a,NN,K,High,3,a,NA,NA,33_3,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
12249,trapnest_33,2023-05-22,33_4a,NN,K,High,4,a,NA,NA,33_4,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
12278,trapnest_33,2023-05-22,33_5a,NN,K,High,5,a,NA,NA,33_5,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
12307,trapnest_33,2023-05-22,33_6a,NN,K,High,6,a,NA,NA,33_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
12336,trapnest_33,2023-05-22,33_7a,NN,K,High,7,a,NA,NA,33_7,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
12365,trapnest_33,2023-05-22,33_8a,NN,K,High,8,a,NA,NA,33_8,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
12394,trapnest_33,2023-05-22,33_9a,NN,K,High,9,a,NA,NA,33_9,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
11901,trapnest_33,2023-05-22,33_10a,NN,K,High,10,a,NA,NA,33_10,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
11930,trapnest_33,2023-05-22,33_11a,NN,K,High,11,a,NA,NA,33_11,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
11959,trapnest_33,2023-05-22,33_12a,NN,K,High,12,a,NA,NA,33_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
11988,trapnest_33,2023-05-22,33_13a,NN,K,High,13,a,NA,NA,33_13,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
12017,trapnest_33,2023-05-22,33_14a,NN,K,High,14,a,NA,NA,33_14,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
12046,trapnest_33,2023-05-22,33_15a,NN,K,High,15,a,NA,NA,33_15,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
12075,trapnest_33,2023-05-22,33_16a,NN,K,High,16,a,NA,NA,33_16,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
12104,trapnest_33,2023-05-22,33_17a,NN,K,High,17,a,NA,NA,33_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
12133,trapnest_33,2023-05-22,33_18a,NN,K,High,18,a,NA,NA,33_18,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
12163,trapnest_33,2023-05-25,33_1a,NN,K,High,1,a,NA,NA,33_1,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
12192,trapnest_33,2023-05-25,33_2a,NN,K,High,2,a,NA,NA,33_2,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
12221,trapnest_33,2023-05-25,33_3a,NN,K,High,3,a,NA,NA,33_3,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
12250,trapnest_33,2023-05-25,33_4a,NN,K,High,4,a,NA,NA,33_4,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
12279,trapnest_33,2023-05-25,33_5a,NN,K,High,5,a,NA,NA,33_5,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
12308,trapnest_33,2023-05-25,33_6a,NN,K,High,6,a,NA,NA,33_6,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
12337,trapnest_33,2023-05-25,33_7a,NN,K,High,7,a,NA,NA,33_7,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
12366,trapnest_33,2023-05-25,33_8a,NN,K,High,8,a,NA,NA,33_8,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
12395,trapnest_33,2023-05-25,33_9a,NN,K,High,9,a,NA,NA,33_9,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
11902,trapnest_33,2023-05-25,33_10a,NN,K,High,10,a,NA,NA,33_10,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
11931,trapnest_33,2023-05-25,33_11a,NN,K,High,11,a,NA,NA,33_11,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
11960,trapnest_33,2023-05-25,33_12a,NN,K,High,12,a,NA,NA,33_12,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
11989,trapnest_33,2023-05-25,33_13a,NN,K,High,13,a,NA,NA,33_13,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
12018,trapnest_33,2023-05-25,33_14a,NN,K,High,14,a,NA,NA,33_14,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
12047,trapnest_33,2023-05-25,33_15a,NN,K,High,15,a,NA,NA,33_15,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
12076,trapnest_33,2023-05-25,33_16a,NN,K,High,16,a,NA,NA,33_16,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
12105,trapnest_33,2023-05-25,33_17a,NN,K,High,17,a,NA,NA,33_17,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
12134,trapnest_33,2023-05-25,33_18a,NN,K,High,18,a,NA,NA,33_18,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145
12164,trapnest_33,2023-05-26,33_1a,NN,K,High,1,a,NA,NA,33_1,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
12193,trapnest_33,2023-05-26,33_2a,NN,K,High,2,a,NA,NA,33_2,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
12222,trapnest_33,2023-05-26,33_3a,NN,K,High,3,a,NA,NA,33_3,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
12251,trapnest_33,2023-05-26,33_4a,NN,K,High,4,a,NA,NA,33_4,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
12280,trapnest_33,2023-05-26,33_5a,NN,K,High,5,a,NA,NA,33_5,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
12309,trapnest_33,2023-05-26,33_6a,NN,K,High,6,a,NA,NA,33_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
12338,trapnest_33,2023-05-26,33_7a,NN,K,High,7,a,NA,NA,33_7,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
12367,trapnest_33,2023-05-26,33_8a,NN,K,High,8,a,NA,NA,33_8,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
12396,trapnest_33,2023-05-26,33_9a,NN,K,High,9,a,NA,NA,33_9,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
11903,trapnest_33,2023-05-26,33_10a,NN,K,High,10,a,NA,NA,33_10,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
11932,trapnest_33,2023-05-26,33_11a,NN,K,High,11,a,NA,NA,33_11,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
11961,trapnest_33,2023-05-26,33_12a,NN,K,High,12,a,NA,NA,33_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
11990,trapnest_33,2023-05-26,33_13a,NN,K,High,13,a,NA,NA,33_13,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
12019,trapnest_33,2023-05-26,33_14a,NN,K,High,14,a,NA,NA,33_14,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
12048,trapnest_33,2023-05-26,33_15a,NN,K,High,15,a,NA,NA,33_15,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
12077,trapnest_33,2023-05-26,33_16a,NN,K,High,16,a,NA,NA,33_16,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
12106,trapnest_33,2023-05-26,33_17a,NN,K,High,17,a,NA,NA,33_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
12135,trapnest_33,2023-05-26,33_18a,NN,K,High,18,a,NA,NA,33_18,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
12165,trapnest_33,2023-05-28,33_1a,NN,K,High,1,a,NA,NA,33_1,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
12194,trapnest_33,2023-05-28,33_2a,NN,K,High,2,a,NA,NA,33_2,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
12223,trapnest_33,2023-05-28,33_3a,NN,K,High,3,a,NA,NA,33_3,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
12252,trapnest_33,2023-05-28,33_4a,NN,K,High,4,a,NA,NA,33_4,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
12281,trapnest_33,2023-05-28,33_5a,NN,K,High,5,a,NA,NA,33_5,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
12310,trapnest_33,2023-05-28,33_6a,NN,K,High,6,a,NA,NA,33_6,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
12339,trapnest_33,2023-05-28,33_7a,NN,K,High,7,a,NA,NA,33_7,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
12368,trapnest_33,2023-05-28,33_8a,NN,K,High,8,a,NA,NA,33_8,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
12397,trapnest_33,2023-05-28,33_9a,NN,K,High,9,a,NA,NA,33_9,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
11904,trapnest_33,2023-05-28,33_10a,NN,K,High,10,a,NA,NA,33_10,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
11933,trapnest_33,2023-05-28,33_11a,NN,K,High,11,a,NA,NA,33_11,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
11962,trapnest_33,2023-05-28,33_12a,NN,K,High,12,a,NA,NA,33_12,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
11991,trapnest_33,2023-05-28,33_13a,NN,K,High,13,a,NA,NA,33_13,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
12020,trapnest_33,2023-05-28,33_14a,NN,K,High,14,a,NA,NA,33_14,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
12049,trapnest_33,2023-05-28,33_15a,NN,K,High,15,a,NA,NA,33_15,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
12078,trapnest_33,2023-05-28,33_16a,NN,K,High,16,a,NA,NA,33_16,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
12107,trapnest_33,2023-05-28,33_17a,NN,K,High,17,a,NA,NA,33_17,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
12136,trapnest_33,2023-05-28,33_18a,NN,K,High,18,a,NA,NA,33_18,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148
12166,trapnest_33,2023-05-29,33_1a,NN,K,High,1,a,NA,NA,33_1,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
12195,trapnest_33,2023-05-29,33_2a,NN,K,High,2,a,NA,NA,33_2,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
12224,trapnest_33,2023-05-29,33_3a,NN,K,High,3,a,NA,NA,33_3,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
12253,trapnest_33,2023-05-29,33_4a,NN,K,High,4,a,NA,NA,33_4,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
12282,trapnest_33,2023-05-29,33_5a,NN,K,High,5,a,NA,NA,33_5,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
12311,trapnest_33,2023-05-29,33_6a,NN,K,High,6,a,NA,NA,33_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
12340,trapnest_33,2023-05-29,33_7a,NN,K,High,7,a,NA,NA,33_7,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
12369,trapnest_33,2023-05-29,33_8a,NN,K,High,8,a,NA,NA,33_8,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
12398,trapnest_33,2023-05-29,33_9a,NN,K,High,9,a,NA,NA,33_9,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
11905,trapnest_33,2023-05-29,33_10a,NN,K,High,10,a,NA,NA,33_10,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
11934,trapnest_33,2023-05-29,33_11a,NN,K,High,11,a,NA,NA,33_11,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
11963,trapnest_33,2023-05-29,33_12a,NN,K,High,12,a,NA,NA,33_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
11992,trapnest_33,2023-05-29,33_13a,NN,K,High,13,a,NA,NA,33_13,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
12021,trapnest_33,2023-05-29,33_14a,NN,K,High,14,a,NA,NA,33_14,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
12050,trapnest_33,2023-05-29,33_15a,NN,K,High,15,a,NA,NA,33_15,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
12079,trapnest_33,2023-05-29,33_16a,NN,K,High,16,a,NA,NA,33_16,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
12108,trapnest_33,2023-05-29,33_17a,NN,K,High,17,a,NA,NA,33_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,149
