"Site","Subsite","Trapnest","Treatment","Nest_ID","Cell_ID","Cell_position","Cell_position_bi","Date","Cell_occupant","Species_or_subtype","Cell_parasitized","Nest_parasitized","Occupant","New_nests_meg","Meg_ps","Meg_no_ps","Meg_active_mothers","Day_of_year","Year"
"BP","AB","trapnest_78","High","78_15b","78_15b_1","unknown",NA,2024-08-06,"megachile","centuncularis",0,"not parasitized","megachile",0,13,2,2,219,"year_2024"
"BP","AB","trapnest_78","High","78_1a","78_1a_1","not last cell",0,2024-07-16,"megachile","relativa",0,"not parasitized","megachile",1,12,3,3,198,"year_2024"
"BP","C","trapnest_7","Low","7_18b","7_18b_1","unknown",NA,2023-06-05,"megachile",NA,0,"not parasitized","megachile",2,3,3,3,156,"year_2023"
"BP","C","trapnest_7","Low","7_18b","7_18b_2","unknown",NA,2023-06-14,"megachile",NA,0,"not parasitized","megachile",1,4,4,3,165,"year_2023"
"BP","C","trapnest_7","Low","7_18c","7_18c_1","not last cell",0,2023-06-29,"megachile",NA,0,"not parasitized","megachile",5,7,7,6,180,"year_2023"
"BP","AC","trapnest_80","Mid","80_1a","80_1a_1","not last cell",0,2024-07-19,"parasite","meloidae",1,"parasitized","megachile",1,7,2,1,201,"year_2024"
"BP","AC","trapnest_80","Mid","80_1a","80_1a_2","last cell",1,2024-07-22,"parasite","meloidae",1,"parasitized","megachile",0,6,2,1,204,"year_2024"
"BP","AC","trapnest_81","High","81_11a","81_11a_1","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AC","trapnest_81","High","81_11a","81_11a_3","last cell",1,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",3,14,5,5,177,"year_2024"
"BP","AC","trapnest_81","High","81_2a","81_2a_1","last cell",1,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
