"","Date","Nest_ID","Trapnest","Site","Subsite","Treatment","Cavity_number","Straw_ID","Cavity_ID","Cell_ID","Cell_number","Filled_length_mm","Straw_length_mm","Status","Contains_cells","Occupant","Good_days","Bee_choice","Available_cavities_prior","New_nests_os","New_nests_meg","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Osmia_ps_no_iw","Osmia_no_ps_no_iw","Meg_ps_no_iw","Meg_no_ps_no_iw","New_nests_sum","Cumulative_par","Number_of_cells","Prop_cells_par","Cell_parasitized","Sealed","Nest_parasitized","Active_bin","Sum_unsealed_os_no_iw","Last_cell","Total_cells_per_date","Sum_cell_parasitized","Sum_cell_not_parasitized","Day_of_year"
"50",2023-05-31,"13_12a","trapnest_13","BP","E","Low",12,"a","13_12","13_12a_6","6","101","137","4 cells",1,"osmia",2,NA,18,4,0,1.5,1.5,0,0,4,4,0,0,4,1,6,0.166666666666667,0,"not sealed","parasitized",1,3,0,4,1,3,151
"51",2023-05-31,"14_10a","trapnest_14","BP","E","Mid",10,"a","14_10","14_10a_1","1","32.56","149.7","3 cells",1,"osmia",2,1,13,4,0,6.5,1.5,0,0,NA,3,0,0,4,0,3,0,0,"not sealed","not parasitized",1,2,0,3,0,3,151
"52",2023-05-31,"16_14a","trapnest_16","BP","F","Low",14,"a","16_14","16_14a_3","3","11.4","142.13","5 cells + end cap",1,"osmia",2,NA,16,4,0,3.5,3.5,0,0,5,5,0,0,4,0,7,0,0,"sealed","not parasitized",0,2,0,5,0,5,151
"53",2023-05-31,"17_15a","trapnest_17","BP","F","Mid",15,"a","17_15","17_15a_13","13","74.49","146.51","5 cells + end cap",1,"osmia",2,NA,12,0,0,6,3,0,0,NA,2,0,0,0,0,9,0,0,"sealed","not parasitized",0,1,1,5,0,5,151
"54",2023-05-31,"18_12b","trapnest_18","BP","F","High",12,"b","18_12","18_12b_1","1","95.42","145.84","7 cells",1,"osmia",2,1,5,2,0,13.5,3.5,0,0,NA,5,0,0,2,0,7,0,0,"not sealed","not parasitized",1,3,0,7,0,7,151
"55",2023-05-31,"2_15b","trapnest_2","BP","A","Mid",15,"b","2_15","2_15b_1","1","29","137.3","3 cells + end cap",1,"osmia",2,1,12,3,0,7,4,0,0,NA,6,0,0,3,0,3,0,0,"sealed","not parasitized",0,2,0,3,0,3,151
"56",2023-05-31,"20_2a","trapnest_20","NN","G","Mid",2,"a","20_2","20_2a_10","10","96.03","149.23","5 cells",1,"osmia",2,NA,14,2,0,4.5,0.5,0,0,NA,2,0,0,2,4,9,0.444444444444444,0,"not sealed","parasitized",1,1,0,5,1,4,151
"57",2023-05-31,"25_13a","trapnest_25","NN","I","Low",13,"a","25_13","25_13a_6","6","108.83","148.8","4 cells",1,"osmia",2,NA,17,4,0,2.5,2.5,0,0,3,3,0,0,4,0,7,0,0,"not sealed","not parasitized",1,3,0,4,0,4,151
"58",2023-05-31,"29_1b","trapnest_29","NN","J","Mid",1,"b","29_1","29_1b_1","1","54.16","125.67","1 cell",1,"osmia",2,1,12,1,0,6,2,0,0,NA,3,0,0,1,0,1,0,0,"not sealed","not parasitized",1,1,0,1,0,1,151
"59",2023-05-31,"3_2a","trapnest_3","BP","A","High",2,"a","3_2","3_2a_1","1","46.68","142.17","2 cells",1,"osmia",2,1,6,1,0,12,3,0,0,NA,4,0,0,1,0,2,0,0,"not sealed","not parasitized",1,2,0,2,0,2,151
