Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Nest_ID,Cell_number,Cell_position,Date,Cell_occupant,Species_or_subtype,Collection,Sex,Comments
BP,C,7,Low,small,3,b,7_3b,1,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,3,b,7_3b,2,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,3,b,7_3b,3,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,3,b,7_3b,4,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,3,b,7_3b,5,NA,2023-06-02,osmia,pumila,in collection - this cell,male,
BP,C,7,Low,small,3,b,7_3b,6,NA,2023-06-02,osmia,pumila,in collection - this cell,male,
BP,C,7,Low,small,3,b,7_3b,7,NA,2023-06-05,osmia,pumila,in collection - this cell,male,
BP,C,7,Low,small,3,b,7_3b,8,NA,2023-06-05,osmia,pumila,in collection - this cell,male,
BP,C,7,Low,small,3,b,7_3b,9,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,3,c,7_3c,1,NA,2023-06-14,empty,NA,not collected,NA,
BP,C,7,Low,medium,4,a,7_4a,NA,last cell,2023-06-23,pollen mass,NA,not collected,NA,
BP,C,7,Low,medium,4,a,7_4a,NA,not last cell,2023-06-14,pollen mass,NA,not collected,NA,
BP,C,7,Low,medium,4,a,7_4a,NA,not last cell,2023-06-14,pollen mass,NA,not collected,NA,
BP,C,7,Low,medium,4,a,7_4a,NA,not last cell,2023-06-14,pollen mass,NA,not collected,NA,
BP,C,7,Low,medium,4,a,7_4a,NA,not last cell,2023-06-16,pollen mass,NA,not collected,NA,
BP,C,7,Low,medium,4,a,7_4a,NA,not last cell,2023-06-16,pollen mass,NA,not collected,NA,
BP,C,7,Low,medium,4,a,7_4a,NA,not last cell,2023-06-23,pollen mass,NA,not collected,NA,
BP,C,7,Low,medium,4,a,7_4a,NA,not last cell,2023-06-23,pollen mass,NA,not collected,NA,
BP,C,7,Low,medium,4,a,7_4a,NA,not last cell,2023-06-23,pollen mass,NA,not collected,NA,
BP,C,7,Low,medium,4,a,7_4a,NA,not last cell,2023-06-23,pollen mass,NA,not collected,NA,
BP,C,7,Low,medium,8,a,7_8a,NA,not last cell,2023-06-14,empty,NA,not collected,NA,
BP,C,7,Low,small,9,a,7_9a,1,NA,2023-06-23,osmia,pumila,in collection - this cell,female,
BP,C,7,Low,small,9,a,7_9a,2,NA,2023-06-23,osmia,pumila,in collection - this cell,male,
BP,C,7,Low,small,9,a,7_9a,3,NA,2023-06-23,empty,NA,not collected,NA,
BP,C,7,Low,medium,11,b,7_11b,1,NA,2023-06-29,empty,NA,not collected,NA,
BP,C,7,Low,small,12,a,7_12a,1,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,14,a,7_14a,1,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,14,a,7_14a,2,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,14,a,7_14a,3,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,14,a,7_14a,4,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,14,a,7_14a,5,NA,2023-05-31,osmia,pumila,in collection - this cell,female,
BP,C,7,Low,small,14,a,7_14a,6,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,14,a,7_14a,7,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,14,a,7_14a,8,NA,2023-05-31,osmia,pumila,in collection - this cell,NA,
BP,C,7,Low,small,14,a,7_14a,9,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,14,a,7_14a,10,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,14,a,7_14a,11,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,14,a,7_14a,12,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,14,a,7_14a,13,NA,2023-06-02,pollen mass,NA,not collected,NA,
