"","Trapnest","Date","Nest_ID","Site","Subsite","Treatment","Cavity_number","Straw_ID","Filled_length_mm","Straw_length_mm","Cavity_ID","Status","Occupant","Good_days","Bee_choice","Available_prior","New_nests_os","New_nests_meg","New_nest_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Cumulative_par","Number_of_cells","Prop_cells_par","Par_in_trapnest","Prop_filled"
"49","trapnest_12",2023-05-17,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","1 cell","osmia",1,NA,6,0,0,0,12,1,0,0,0,3,0,1,0.808793670797451
"50","trapnest_12",2023-05-19,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","1 cell","osmia",2,NA,6,0,0,0,12,1,0,0,0,4,0,1,0.808793670797451
"51","trapnest_12",2023-05-21,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","no change","osmia",1,NA,7,0,0,0,11,1,0,0,0,4,0,1,0.808793670797451
"52","trapnest_12",2023-05-22,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","3 cells","osmia",1,NA,7,0,0,0,11,1,0,0,0,7,0,1,0.808793670797451
"53","trapnest_12",2023-05-23,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","2 cells","osmia",1,NA,7,0,0,0,11,1,0,0,0,9,0,1,0.808793670797451
"54","trapnest_12",2023-05-26,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","4 cells","osmia",2,NA,7,0,0,0,11,1,0,0,0,13,0,1,0.808793670797451
"55","trapnest_12",2023-05-28,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","no change","osmia",2,NA,7,0,0,0,11,1,0,0,0,13,0,1,0.808793670797451
"56","trapnest_12",2023-05-29,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","1 cell + end cap","osmia",1,NA,6.5,2,0,2,11.5,1.5,0,0,0,14,0,3,0.808793670797451
"57","trapnest_12",2023-05-31,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","no change","osmia",2,NA,8.5,2,0,2,9.5,1.5,0,0,0,14,0,3,0.808793670797451
"58","trapnest_12",2023-06-02,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","no change","osmia",2,NA,7.5,2,0,2,10.5,3.5,0,0,0,14,0,5,0.808793670797451
"59","trapnest_12",2023-06-05,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","no change","osmia",1,NA,7,0,0,0,11,5,0,0,0,14,0,5,0.808793670797451
"60","trapnest_12",2023-06-08,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","no change","osmia",2,NA,7,1,0,1,11,5,0,0,0,14,0,6,0.808793670797451
"61","trapnest_12",2023-06-10,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","no change","osmia",0,NA,7,0,0,0,11,6,0,0,0,14,0,6,0.808793670797451
"62","trapnest_12",2023-06-12,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","no change","osmia",1,NA,7,0,0,0,11,6,0,0,0,14,0,6,0.808793670797451
"63","trapnest_12",2023-06-14,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","no change","osmia",0,NA,7,1,0,1,11,6,0,0,0,14,0,7,0.808793670797451
