"Site","Subsite","Trapnest","Treatment","Nest_ID","Cell_ID","Cell_position","Cell_position_bi","Date","Cell_occupant","Species_or_subtype","Cell_parasitized","Nest_parasitized","Occupant","New_nests_os","Osmia_ps","Osmia_no_ps","Osmia_active_mothers","Day_of_year","Year"
"BP","E","trapnest_15","High","15_4a","15_4a_1","last cell",1,2023-05-17,"parasite","sapyga",1,"parasitized","osmia",1,13,2,2,137,"year_2023"
"BP","F","trapnest_16","Low","16_11a","16_11a_1","not last cell",0,2023-06-02,"parasite","sapyga",1,"parasitized","osmia",1,4,4,4,153,"year_2023"
"BP","F","trapnest_16","Low","16_11a","16_11a_2","not last cell",0,2023-06-02,"parasite","sapyga",1,"parasitized","osmia",1,4,4,4,153,"year_2023"
"BP","F","trapnest_16","Low","16_11a","16_11a_3","not last cell",0,2023-06-02,"parasite","sapyga",1,"parasitized","osmia",1,4,4,4,153,"year_2023"
"BP","F","trapnest_16","Low","16_11a","16_11a_4","not last cell",0,2023-06-02,"parasite","sapyga",1,"parasitized","osmia",1,4,4,4,153,"year_2023"
"BP","F","trapnest_16","Low","16_11a","16_11a_5","not last cell",0,2023-06-02,"parasite","sapyga",1,"parasitized","osmia",1,4,4,4,153,"year_2023"
"BP","F","trapnest_16","Low","16_11a","16_11a_6","last cell",1,2023-06-02,"osmia","pumila",0,"parasitized","osmia",1,4,4,4,153,"year_2023"
"BP","F","trapnest_16","Low","16_14a","16_14a_2","not last cell",0,2023-05-29,"osmia",NA,0,"not parasitized","osmia",4,6,6,6,149,"year_2023"
"BP","F","trapnest_16","Low","16_5b","16_5b_1","unknown",NA,2023-05-23,"osmia","tersula",0,"not parasitized","osmia",1,2,2,1,143,"year_2023"
"BP","F","trapnest_16","Low","16_5b","16_5b_2","unknown",NA,2023-05-23,"osmia","tersula",0,"not parasitized","osmia",1,2,2,1,143,"year_2023"
"BP","F","trapnest_16","Low","16_5b","16_5b_3","unknown",NA,2023-05-26,"osmia","tersula",0,"not parasitized","osmia",1,3,3,2,146,"year_2023"
"BP","F","trapnest_16","Low","16_5b","16_5b_4","unknown",NA,2023-05-26,"osmia","tersula",0,"not parasitized","osmia",1,3,3,2,146,"year_2023"
"BP","F","trapnest_16","Low","16_5b","16_5b_5","unknown",NA,2023-05-26,"osmia","tersula",0,"not parasitized","osmia",1,3,3,2,146,"year_2023"
"BP","F","trapnest_16","Low","16_5b","16_5b_6","unknown",NA,2023-05-26,"osmia","tersula",0,"not parasitized","osmia",1,3,3,2,146,"year_2023"
"BP","F","trapnest_16","Low","16_5b","16_5b_7","unknown",NA,2023-05-29,"osmia","tersula",0,"not parasitized","osmia",4,6,6,6,149,"year_2023"
"BP","F","trapnest_16","Low","16_5c","16_5c_1","not last cell",0,2023-06-02,"parasite","sapyga",1,"parasitized","osmia",1,4,4,4,153,"year_2023"
"BP","F","trapnest_16","Low","16_5c","16_5c_2","not last cell",0,2023-06-02,"osmia","tersula",0,"parasitized","osmia",1,4,4,4,153,"year_2023"
"BP","F","trapnest_16","Low","16_6a","16_6a_2","not last cell",0,2023-05-29,"osmia",NA,0,"not parasitized","osmia",4,6,6,6,149,"year_2023"
"BP","F","trapnest_16","Low","16_6a","16_6a_3","last cell",1,2023-05-29,"osmia",NA,0,"not parasitized","osmia",4,6,6,6,149,"year_2023"
"BP","F","trapnest_16","Low","16_6b","16_6b_1","last cell",1,2023-05-31,"osmia","tersula",0,"not parasitized","osmia",2,6,6,5,151,"year_2023"
"BP","F","trapnest_16","Low","16_8a","16_8a_1","not last cell",0,2023-05-15,"parasite","sapyga",1,"parasitized","osmia",1,2,2,2,135,"year_2023"
"BP","F","trapnest_16","Low","16_8a","16_8a_2","last cell",1,2023-05-17,"parasite","sapyga",1,"parasitized","osmia",0,2,2,2,137,"year_2023"
"BP","F","trapnest_17","Mid","17_13b","17_13b_1","not last cell",0,2023-06-23,"parasite","sapyga",1,"parasitized","osmia",1,7,6,1,174,"year_2023"
"BP","F","trapnest_17","Mid","17_13b","17_13b_3","not last cell",0,2023-06-23,"osmia","pumila",0,"parasitized","osmia",1,7,6,1,174,"year_2023"
"BP","F","trapnest_17","Mid","17_13b","17_13b_4","not last cell",0,2023-06-23,"osmia","pumila",0,"parasitized","osmia",1,7,6,1,174,"year_2023"
"BP","F","trapnest_17","Mid","17_13b","17_13b_5","last cell",1,2023-06-23,"osmia","pumila",0,"parasitized","osmia",1,7,6,1,174,"year_2023"
"BP","F","trapnest_17","Mid","17_16a","17_16a_2","not last cell",0,2023-06-05,"osmia",NA,0,"not parasitized","osmia",2,8,7,5,156,"year_2023"
"BP","F","trapnest_17","Mid","17_17a","17_17a_1","not last cell",0,2023-05-29,"osmia","tersula",0,"parasitized","osmia",2,9,3,3,149,"year_2023"
"BP","F","trapnest_17","Mid","17_17a","17_17a_2","not last cell",0,2023-05-29,"osmia","tersula",0,"parasitized","osmia",2,9,3,3,149,"year_2023"
"BP","F","trapnest_17","Mid","17_17a","17_17a_3","not last cell",0,2023-05-29,"parasite","sapyga",1,"parasitized","osmia",2,9,3,3,149,"year_2023"
"BP","F","trapnest_17","Mid","17_17a","17_17a_4","not last cell",0,2023-05-29,"osmia","tersula",0,"parasitized","osmia",2,9,3,3,149,"year_2023"
"BP","F","trapnest_17","Mid","17_17a","17_17a_5","last cell",1,2023-06-02,"parasite","sapyga",1,"parasitized","osmia",3,9,6,5,153,"year_2023"
"BP","F","trapnest_17","Mid","17_17b","17_17b_1","not last cell",0,2023-06-05,"osmia",NA,0,"parasitized","osmia",2,8,7,5,156,"year_2023"
"BP","F","trapnest_17","Mid","17_17b","17_17b_2","not last cell",0,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",2,8,7,5,156,"year_2023"
"BP","F","trapnest_17","Mid","17_17b","17_17b_3","last cell",1,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",2,8,7,5,156,"year_2023"
"BP","F","trapnest_17","Mid","17_18a","17_18a_1","not last cell",0,2023-06-02,"osmia",NA,0,"parasitized","osmia",3,9,6,5,153,"year_2023"
"BP","F","trapnest_17","Mid","17_18a","17_18a_2","unknown",NA,2023-06-02,"osmia",NA,0,"parasitized","osmia",3,9,6,5,153,"year_2023"
