"","Site","Subsite","Trapnest","Treatment","Straw_ID","Date","Day_of_year","Filled_length_mm","Straw_length_mm","Nest_ID","Status","Sealed","Nest_parasitized","Occupant","Good_days","Bee_choice","Available_post","New_nests_os","New_nests_meg","Available_cavities_prior","New_nests_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Sum_unsealed_os","Sum_unsealed_meg","DP_os_prior","NDP_os_prior","NDP_ps_os_prior","DP_meg_prior","NDP_meg_prior","NDP_ps_meg_prior","Straw_length","Filled_length"
"46","BP","C","trapnest_7","Low","a",2023-06-14,165,14.12,147.29,"7_8a","1 cell","not sealed","not parasitized","megachile",0,1,12,1,1,14,2,1,1,3,3,1,4,0,0,0,0,2,2,147,14
"47","BP","AC","trapnest_80","Mid","a",2024-07-19,201,37,133,"80_1a","1 cell","not sealed","parasitized","megachile",2,1,11,0,1,12,1,0,0,6,1,NA,1,0,0,0,0,1,6,133,37
"48","BP","AC","trapnest_80","Mid","a",2024-07-16,198,47,132,"80_5a","2 cells + end cap","sealed","not parasitized","megachile",3,1,11,0,1,12,1,0,0,6,0,NA,0,0,0,0,0,0,6,132,47
"49","BP","AC","trapnest_81","High","a",2024-06-21,173,36,132,"81_11a","2 cells","not sealed","not parasitized","megachile",4,1,5,0,2,7,2,0,0,11.5,0.5,NA,2,0,0,0,0,1,12,132,36
"50","BP","AC","trapnest_81","High","a",2024-06-21,173,125,135,"81_2a","9 cells","not sealed","not parasitized","megachile",4,1,5,0,2,7,2,0,0,11.5,0.5,NA,2,0,0,0,0,1,12,135,125
"51","BP","AC","trapnest_81","High","a",2024-06-25,177,106,138,"81_7a","6 cells + end cap","sealed","not parasitized","megachile",1,1,4,0,3,7,3,0,0,12,3,NA,2,0,0,0,0,2,11,138,106
"52","BP","AD","trapnest_83","Mid","a",2024-06-17,169,128,139,"83_2a","1 cell","not sealed","not parasitized","megachile",3,1,9,0,1,10,1,0,0,6,0,NA,1,0,0,0,0,0,6,139,128
"53","BP","AD","trapnest_84","High","a",2024-06-21,173,65,130,"84_11a","2 cells","not sealed","not parasitized","megachile",4,1,4,0,3,7,3,0,0,12,1,NA,2,0,0,0,0,1,12,130,65
"54","BP","AD","trapnest_84","High","b",2024-06-28,180,13,141,"84_13b","1 cell","not sealed",NA,"megachile",3,1,6,0,1,7,1,0,0,11,5,NA,5,0,0,0,1,4,10,141,13
"55","BP","AD","trapnest_84","High","a",2024-06-21,173,72,130,"84_14a","5 cells","not sealed","parasitized","megachile",4,1,4,0,3,7,3,0,0,12,1,NA,2,0,0,0,0,1,12,130,72
"56","BP","AD","trapnest_84","High","a",2024-06-25,177,81,142,"84_15a","4 cells","not sealed","not parasitized","megachile",1,1,4,0,2,6,2,0,0,12.5,3.5,NA,4,0,0,0,1,3,12,142,81
"57","BP","AD","trapnest_84","High","a",2024-06-21,173,115,130,"84_18a","8 cells + end cap","sealed","parasitized","megachile",4,1,4,0,3,7,3,0,0,12,1,NA,2,0,0,0,0,1,12,130,115
"58","BP","AD","trapnest_84","High","b",2024-06-25,177,24,131,"84_7b","inner wall","not sealed","not parasitized","megachile",1,1,4,0,2,6,2,0,0,12.5,3.5,NA,4,0,0,0,1,3,12,131,24
"59","BP","AE","trapnest_85","Low","a",2024-07-13,195,65,142,"85_13a","1 cell","not sealed","not parasitized","megachile",2,1,16,0,2,18,2,0,0,0.5,0.5,NA,2,0,0,0,0,1,1,142,65
"60","BP","AE","trapnest_85","Low","a",2024-07-29,211,21,145,"85_5a","1 cell + end cap","sealed","not parasitized","megachile",3,1,14,0,1,15,1,0,0,1,1,NA,0,0,0,0,0,1,1,145,21
"61","BP","AE","trapnest_85","Low","a",2024-07-19,201,57,137,"85_7a","2 cells","not sealed","not parasitized","megachile",2,1,15,0,1,16,1,0,0,2,2,NA,1,0,0,0,0,2,2,137,57
"62","BP","AE","trapnest_85","Low","a",2024-07-13,195,71,144,"85_8a","2 cells","not sealed","not parasitized","megachile",2,1,16,0,2,18,2,0,0,0.5,0.5,NA,2,0,0,0,0,1,1,144,71
"63","BP","AE","trapnest_87","High","b",2024-07-02,184,28,132,"87_11b","1 cell","not sealed","not parasitized","megachile",3,1,6,0,1,7,1,0,0,11,3,NA,2,0,0,0,1,2,10,132,28
"64","BP","AE","trapnest_87","High","a",2024-06-21,173,100,130,"87_12a","9 cells","not sealed","parasitized","megachile",4,1,5,0,2,7,2,0,0,11.5,0.5,NA,2,0,0,0,0,0,11,130,100
"65","BP","AE","trapnest_87","High","b",2024-06-25,177,60,134,"87_2b","2 cells","not sealed","not parasitized","megachile",1,1,5,0,1,6,1,0,0,12,3,NA,2,0,0,0,1,1,10,134,60
"66","BP","AE","trapnest_87","High","a",2024-06-21,173,111,126,"87_4a","9 cells","not sealed","not parasitized","megachile",4,1,5,0,2,7,2,0,0,11.5,0.5,NA,2,0,0,0,0,0,11,126,111
"67","BP","AE","trapnest_87","High","a",2024-07-22,204,26,131,"87_5a","1 cell","not sealed","not parasitized","megachile",3,1,6,0,1,7,1,0,0,11,4,NA,3,0,0,0,1,3,10,131,26
"68","BP","AE","trapnest_87","High","b",2024-07-26,208,77,130,"87_8b","1 cell","not sealed","not parasitized","megachile",2,1,6,0,1,7,1,0,0,11,5,NA,3,0,0,0,1,4,10,130,77
"69","BP","AF","trapnest_90","High","b",2024-08-02,215,61,134,"90_12b","2 cells","not sealed","not parasitized","megachile",3,1,3,0,4,7,4,0,0,12.5,4.5,NA,3,0,0,0,0,5,13,134,61
"70","BP","AF","trapnest_90","High","a",2024-07-16,198,71,137,"90_2a","1 cell","not sealed","not parasitized","megachile",3,1,5,0,2,7,2,0,0,11.5,0.5,NA,2,0,0,0,0,1,12,137,71
"71","BP","AF","trapnest_90","High","b",2024-08-02,215,19,138,"90_3b","1 cell + end cap","sealed","not parasitized","megachile",3,1,3,0,4,7,4,0,0,12.5,4.5,NA,3,0,0,0,0,5,13,138,19
"72","BP","AF","trapnest_90","High","b",2024-07-26,208,50,143,"90_4b","2 cells","not sealed","parasitized","megachile",2,1,6,0,1,7,1,0,0,11,2,NA,2,0,0,0,0,2,11,143,50
"73","BP","AF","trapnest_90","High","a",2024-07-16,198,51,138,"90_5a","1 cell","not sealed","not parasitized","megachile",3,1,5,0,2,7,2,0,0,11.5,0.5,NA,2,0,0,0,0,1,12,138,51
"74","BP","AF","trapnest_90","High","a",2024-08-02,215,55,129,"90_9a","1 cell","not sealed","not parasitized","megachile",3,1,3,0,4,7,4,0,0,12.5,4.5,NA,3,0,0,0,0,5,13,129,55
"75","CP","AG","trapnest_91","Low","a",2024-06-21,173,37,129,"91_14a","3 cells","not sealed","not parasitized","megachile",4,1,16,1,1,18,2,0,0,0,0,1,1,0,0,0,0,0,0,129,37
"76","CP","AG","trapnest_93","High","a",2024-06-17,169,88,130,"93_16a","4 cells","not sealed","not parasitized","megachile",3,1,6,0,1,7,1,0,0,11,0,NA,1,0,0,0,0,0,11,130,88
"77","CP","AH","trapnest_94","Low","a",2024-06-17,169,75,132,"94_6a","4 cells","not sealed","not parasitized","megachile",3,1,15,0,1,16,1,0,0,2,2,NA,2,0,0,0,0,1,1,132,75
"78","CP","AI","trapnest_97","Low","a",2024-06-17,169,93,136,"97_13a","1 cell","not sealed","not parasitized","megachile",3,1,15,0,3,18,3,0,0,1,1,NA,3,0,0,0,0,1.5,1.5,136,93
"79","CP","AI","trapnest_97","Low","a",2024-06-17,169,88,138,"97_14a","1 cell","not sealed","not parasitized","megachile",3,1,15,0,3,18,3,0,0,1,1,NA,3,0,0,0,0,1.5,1.5,138,88
"80","CP","AI","trapnest_97","Low","a",2024-06-17,169,134,149,"97_15a","3 cells","not sealed","not parasitized","megachile",3,1,15,0,3,18,3,0,0,1,1,NA,3,0,0,0,0,1.5,1.5,149,134
"81","CP","AI","trapnest_97","Low","a",2024-06-21,173,108,131,"97_17a","3 cells","not sealed","not parasitized","megachile",4,1,13,0,2,15,2,0,0,3.5,3.5,NA,3,0,0,0,0,4,4,131,108
"82","CP","AI","trapnest_98","Mid","a",2024-06-28,180,50,135,"98_12a","2 cells","not sealed","parasitized","megachile",3,1,11,0,1,12,1,0,0,6,0,NA,1,0,0,0,0,0,6,135,50
"83","CP","AI","trapnest_98","Mid","a",2024-07-05,187,59,138,"98_16a","2 cells","not sealed","not parasitized","megachile",3,1,11,0,1,12,1,0,0,6,1,NA,2,0,0,0,1,0,5,138,59
"84","BP","C","trapnest_9","High","b",2023-06-08,159,64.75,141.25,"9_14b","1 cell","not sealed","not parasitized","megachile",2,1,5,0,2,7,2,10,3,1.5,1.5,1,2,0,3,10,0,2,2,141,65
"85","BP","C","trapnest_9","High","a",2023-06-05,156,92.04,119.65,"9_6a","7 cells + end cap","sealed","not parasitized","megachile",1,1,5,1,1,7,2,11,2,0,0,1,0,0,2,11,0,0,0,120,92
"86","BP","C","trapnest_9","High","a",2023-06-08,159,61.5,147,"9_7a","2 cells","not sealed","not parasitized","megachile",2,1,5,0,2,7,2,10,3,1.5,1.5,1,2,0,3,10,0,2,2,147,62
