"","Trapnest","Date","Day_of_year","Site","Subsite","Treatment","Filled_length_mm","Straw_length_mm","Nest_ID","Status","Sealed","Nest_parasitized","Occupant","Good_days","Bee_choice","Available_cavities_prior","New_nests_os","New_nests_meg","New_nests_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Osmia_ps_no_iw","Osmia_no_ps_no_iw","Meg_ps_no_iw","Meg_no_ps_no_iw","DP_os_post","NDP_os_post","NDP_ps_os_post","DP_os_prior","NDP_os_prior","NDP_ps_os_prior"
"107","trapnest_1",2023-06-05,156,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",1,0,18,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"108","trapnest_1",2023-06-08,159,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"109","trapnest_1",2023-06-10,161,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",0,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"110","trapnest_1",2023-06-12,163,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",1,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"111","trapnest_1",2023-06-14,165,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",0,0,17,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1
"112","trapnest_1",2023-06-16,167,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","trapnest_1",2023-06-20,171,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","trapnest_1",2023-06-23,174,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","trapnest_1",2023-06-29,180,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","trapnest_1",2023-05-11,131,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","trapnest_1",2023-05-12,132,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","trapnest_1",2023-05-15,135,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","trapnest_1",2023-05-16,136,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","trapnest_1",2023-05-17,137,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","trapnest_1",2023-05-19,139,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","trapnest_1",2023-05-21,141,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","trapnest_1",2023-05-22,142,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","trapnest_1",2023-05-23,143,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","trapnest_1",2023-05-26,146,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","trapnest_1",2023-05-28,148,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","trapnest_1",2023-05-29,149,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",1,0,18,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"128","trapnest_1",2023-05-31,151,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"129","trapnest_1",2023-06-02,153,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"130","trapnest_1",2023-06-05,156,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",1,0,18,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"131","trapnest_1",2023-06-08,159,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"132","trapnest_1",2023-06-10,161,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",0,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"133","trapnest_1",2023-06-12,163,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",1,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"134","trapnest_1",2023-06-14,165,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",0,0,17,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1
"135","trapnest_1",2023-06-16,167,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","trapnest_1",2023-06-20,171,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","trapnest_1",2023-06-23,174,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","trapnest_1",2023-06-29,180,"BP","A","Low",NA,NA,"1_15a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","trapnest_1",2023-05-11,131,"BP","A","Low","91","141","1_16a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","trapnest_1",2023-05-12,132,"BP","A","Low","91","141","1_16a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","trapnest_1",2023-05-15,135,"BP","A","Low","91","141","1_16a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","trapnest_1",2023-05-16,136,"BP","A","Low","91","141","1_16a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","trapnest_1",2023-05-17,137,"BP","A","Low","91","141","1_16a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
