Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Nest_ID,Cell_position,Date,Cell_occupant,Species_or_subtype,Collection,Sex,Comments
BP,AD,84,High,small,11,a,84_11a,not last cell,2024-06-25,megachile,relativa,in collection ,female,
BP,AD,84,High,small,11,b,84_11b,last cell,2024-08-08,unknown larva,,,,
BP,AD,84,High,small,11,b,84_11b,not last cell,2024-08-06,unknown larva,,,,
BP,AD,84,High,small,11,b,84_11b,not last cell,2024-08-06,unknown larva,,,,
BP,AD,84,High,small,11,b,84_11b,not last cell,2024-08-02,pollen mass,,,,
BP,AD,84,High,small,11,b,84_11b,not last cell,2024-08-02,pollen mass,,,,
BP,AD,84,High,small,11,b,84_11b,not last cell,2024-08-02,pollen mass,,,,
BP,AD,84,High,small,11,b,84_11b,not last cell,2024-07-19,pollen mass,,,,
BP,AD,84,High,large,14,a,84_14a,not last cell,,megachile,mendica,in collection,female,
BP,AD,84,High,large,14,a,84_14a,not last cell,,unknown larva,,,,
BP,AD,84,High,large,14,a,84_14a,not last cell,,unknown larva,,,,
BP,AD,84,High,large,14,a,84_14a,not last cell,,parasite,small parasites,,,
BP,AD,84,High,large,14,a,84_14a,last cell,,unknown larva,,,,
BP,AD,84,High,medium,15,a,84_15a,last cell,2024-07-02,empty ,,,,
BP,AD,84,High,medium,15,a,84_15a,not last cell,2024-06-28,unknown larva,,,,
BP,AD,84,High,medium,15,a,84_15a,not last cell,2024-06-28,megachile,relativa,in collection,male,
BP,AD,84,High,medium,15,a,84_15a,not last cell,2024-06-25,megachile,relativa,in collection,female,
BP,AD,84,High,medium,15,a,84_15a,not last cell,2024-06-25,megachile,,,female,
BP,AD,84,High,medium,15,a,84_15a,not last cell,2024-06-25,megachile,,,female,
BP,AD,84,High,medium,15,a,84_15a,not last cell,2024-06-25,megachile,,,female,
BP,AD,84,High,large,18,a,84_18a,last cell,2024-06-21,parasite,chalcid,in collection,,
BP,AD,84,High,large,18,a,84_18a,not last cell,2024-06-21,mold,,,,
BP,AD,84,High,large,18,a,84_18a,not last cell,2024-06-21,mold,,,,
BP,AD,84,High,large,18,a,84_18a,not last cell,2024-06-21,mold,,,,
BP,AD,84,High,large,18,a,84_18a,not last cell,2024-06-21,mold,,,,
BP,AD,84,High,large,18,a,84_18a,not last cell,2024-06-21,mold,,,,
BP,AD,84,High,large,18,a,84_18a,not last cell,2024-06-21,mold,,,,
BP,AD,84,High,large,18,a,84_18a,not last cell,2024-06-21,mold,,,,
BP,AE,85,Low,small,5,a,85_5a,last cell,2024-07-29,megachile,pugnata,in collection,male,
BP,AE,85,Low,medium,7,a,85_7a,last cell,2024-07-22,mold,,,,
BP,AE,85,Low,medium,7,a,85_7a,not last cell,2022-07-19,mold,,,,
BP,AE,85,Low,medium,7,a,85_7a,not last cell,2022-07-19,mold,,,,
BP,AE,85,Low,medium,8,a,85_8a,last cell,2024-07-16,megachile,pugnata,in collection,male,
BP,AE,85,Low,medium,8,a,85_8a,not last cell,2024-07-16,mold,,,,
BP,AE,85,Low,medium,8,a,85_8a,not last cell,2024-07-13,mold,,,,
BP,AE,85,Low,medium,8,a,85_8a,not last cell,2024-07-13,mold,,,,
BP,AE,85,Low,medium,8,a,85_8a,not last cell,2024-07-13,megachile,pugnata,in collection,female,
BP,AE,85,Low,medium,13,a,85_13a,last cell,2024-07-16,megachile,,,,
BP,AE,85,Low,medium,13,a,85_13a,not last cell,2024-07-13,unknown larva,,,,
BP,AE,85,Low,small,15,a,85_15a,last cell,2024-08-12,hyleaus,,in collection,,
BP,AE,85,Low,small,15,a,85_15a,not last cell,2024-08-08,hyleaus,,in collection,,
BP,AE,85,Low,small,15,a,85_15a,not last cell,2024-08-08,hyleaus,,in collection,,
BP,AE,85,Low,small,15,a,85_15a,not last cell,2024-08-08,hyleaus,,in collection,,
BP,AE,85,Low,small,15,a,85_15a,not last cell,2024-08-02,hyleaus,,in collection,,
BP,AE,85,Low,small,15,a,85_15a,not last cell,2024-08-02,hyleaus,,in collection,,
BP,AE,85,Low,small,15,a,85_15a,not last cell,2024-08-02,hyleaus,,in collection,,
BP,AE,85,Low,small,15,a,85_15a,not last cell,2024-08-02,hyleaus,,in collection,,
BP,AE,85,Low,small,15,a,85_15a,not last cell,2024-08-02,hyleaus,,in collection,,
BP,AE,85,Low,small,15,a,85_15a,not last cell,2024-08-02,hyleaus,,in collection,,
BP,AE,85,Low,small,15,a,85_15a,not last cell,2024-08-02,hyleaus,,in collection,,
BP,AE,85,Low,small,15,a,85_15a,not last cell,2024-07-29,hyleaus,,in collection,,
BP,AE,85,Low,small,15,a,85_15a,not last cell,2024-07-29,hyleaus,,in collection,,
