Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Cell_number,Cell_occupant,Living,Date,Comments
BP,C,7,Low,small,15,a,8,unknown larva,no,2023-05-31,
BP,C,7,Low,small,15,a,9,unknown larva,no,2023-05-31,
BP,C,7,Low,small,15,a,10,unknown larva,no,2023-06-02,
BP,C,7,Low,small,15,a,11,pollen mass,NA,2023-06-02,
BP,C,7,Low,small,15,a,12,pollen mass,NA,2023-06-02,
BP,C,7,Low,small,15,a,13,pollen mass,NA,2023-06-02,
BP,C,7,Low,small,15,a,14,pollen mass,NA,2023-06-02,
BP,C,7,Low,small,17,a,1,sapyga,yes,2023-05-29,
BP,C,7,Low,small,17,a,2,osmia,yes,2023-05-29,
BP,C,7,Low,small,17,a,3,osmia,yes,2023-05-29,
BP,C,7,Low,small,17,a,4,osmia,yes,2023-05-29,
BP,C,7,Low,small,17,a,5,osmia,yes,2023-05-29,
BP,C,8,Mid,small,2,a,1,pollen mass,NA,2023-05-29,
BP,C,8,Mid,small,2,a,2,pollen mass,NA,2023-05-29,
BP,C,8,Mid,small,3,a,1,sapyga,yes,2023-05-22,
BP,C,8,Mid,small,3,a,2,sapyga,yes,2023-05-22,
BP,C,8,Mid,small,3,a,3,sapyga,yes,2023-05-22,
BP,C,8,Mid,small,3,a,4,sapyga,yes,2023-05-23,
BP,C,8,Mid,small,3,a,5,osmia,yes,2023-05-23,
BP,C,8,Mid,small,3,a,6,unknown larva,no,2023-05-23,
BP,C,8,Mid,small,12,a,1,unknown larva,no,2023-05-26,
BP,C,8,Mid,small,12,a,2,unknown larva,no,2023-05-26,
BP,C,8,Mid,small,12,a,3,unknown larva,no,2023-05-26,
BP,C,8,Mid,small,12,a,4,pollen mass,NA,2023-05-26,
BP,C,8,Mid,small,12,a,5,pollen mass,NA,2023-05-26,
BP,C,8,Mid,small,12,a,6,sapyga,no,2023-05-26,
BP,C,8,Mid,small,12,a,7,pollen mass,NA,2023-05-29,
BP,C,8,Mid,small,12,a,8,osmia,no,2023-05-29,
BP,C,8,Mid,small,12,a,9,pollen mass,NA,2023-05-29,
BP,C,8,Mid,small,12,a,10,osmia,unknown,2023-05-31,
BP,C,8,Mid,small,12,a,11,osmia,unknown,2023-05-31,
BP,C,8,Mid,small,16,a,1,osmia,no,2023-05-26,
BP,C,8,Mid,small,16,a,2,sapyga,no,2023-05-26,
BP,C,8,Mid,small,16,a,3,unknown larva,no,2023-05-26,
BP,C,8,Mid,small,16,a,4,osmia,yes,2023-05-26,
BP,C,8,Mid,small,16,a,5,osmia,yes,2023-05-29,*says may 29 in cell
BP,C,8,Mid,small,16,a,6,osmia,yes,2023-05-29,
BP,C,8,Mid,small,16,a,7,osmia,yes,2023-05-29,
BP,C,9,High,small,5,a,1,pollen mass,NA,2023-06-05,
BP,C,9,High,small,5,a,2,unknown larva,no,2023-06-05,potentially sapyga- unknown due to moldl 
BP,C,9,High,small,5,a,3,unknown larva,no,2023-06-05,
BP,C,9,High,small,5,a,4,pollen mass,NA,2023-06-05,
BP,C,9,High,small,5,a,5,pollen mass,NA,2023-06-05,
BP,C,9,High,small,5,a,6,pollen mass,NA,2023-06-05,
BP,C,9,High,small,5,a,7,pollen mass,NA,2023-06-05,
BP,C,9,High,small,5,a,8,unknown larva,no,2023-06-05,
BP,C,9,High,small,5,a,9,pollen mass,NA,2023-06-08,
BP,C,9,High,small,5,a,10,pollen mass,NA,2023-06-14,
BP,C,9,High,small,5,a,11,unknown larva,no,2023-06-14,
BP,C,9,High,small,5,a,12,empty,NA,2023-06-14,
BP,C,9,High,small,8,a,1,sapyga,yes,2023-05-22,just end cap
BP,C,9,High,small,8,a,2,osmia,yes,2023-05-22,
BP,C,9,High,small,8,a,3,osmia,yes,2023-05-23,
BP,C,9,High,small,8,a,4,osmia,unknown,2023-05-23,
BP,C,9,High,small,8,a,5,osmia,unknown,2023-05-26,
BP,C,9,High,small,8,a,6,osmia,yes,2023-05-26,
